ID1,ID2,Num_Mums,Total_mums_length
25,32,381,11633
25,39,872,32681
32,39,274,8319
25,67,332,14791
25,76,197,6262
25,92,1433,57545
32,67,237,8240
32,76,523,18178
32,92,347,10563
39,67,350,13229
39,76,219,6620
39,92,993,38379
67,76,434,13681
67,92,375,15680
76,92,188,5935
25,105,1606,70374
25,106,184,7572
25,107,1348,52834
25,111,314,9497
25,113,339,14778
25,131,1359,152027
25,133,1381,151970
25,138,211,6616
25,142,167,5481
25,147,332,15011
25,148,663,23785
32,105,351,10613
32,106,315,9361
32,107,333,10156
32,111,703,29887
32,113,232,8079
32,131,382,11635
32,133,383,11657
32,138,601,21425
32,142,316,12234
32,147,227,8016
32,148,715,22659
39,105,810,30638
39,106,215,7504
39,107,914,35581
39,111,249,7392
39,113,356,13245
39,131,875,32945
39,133,872,32911
39,138,233,6994
39,142,195,6013
39,147,336,13016
39,148,513,17619
67,105,321,14410
67,106,493,17072
67,107,302,13974
67,111,352,10875
67,113,2247,139866
67,131,332,14824
67,133,333,14836
67,138,460,14340
67,142,524,16047
67,147,2314,104410
67,148,713,41726
76,105,189,5976
76,106,309,9963
76,107,182,5809
76,111,267,10015
76,113,437,13507
76,131,199,6310
76,133,200,6350
76,138,1523,70874
76,142,497,29384
76,147,441,13694
76,148,333,10423
92,105,1361,53491
92,106,180,7456
92,107,1533,68214
92,111,340,9960
92,113,363,15411
92,131,1420,57560
92,133,1426,57625
92,138,192,6062
92,142,184,5862
92,147,372,15646
92,148,640,22802
105,106,178,7357
105,107,1257,48902
105,111,292,8787
105,113,325,14333
105,131,1623,70796
105,133,1623,70772
105,138,201,6290
105,142,156,5131
105,147,324,14655
105,148,604,21982
106,107,182,7520
106,111,385,12356
106,113,469,16480
106,131,182,7520
106,133,180,7478
106,138,344,10811
106,142,244,6929
106,147,504,17241
106,148,318,12264
107,111,304,8971
107,113,311,14055
107,131,1346,53014
107,133,1349,52973
107,138,190,6084
107,142,156,5146
107,147,306,14194
107,148,598,22026
111,113,342,10689
111,131,314,9477
111,133,316,9518
111,138,279,10236
111,142,536,17273
111,147,361,11362
111,148,511,16290
113,131,336,14762
113,133,338,14794
113,138,452,13971
113,142,507,15542
113,147,2284,99908
113,148,755,41037
131,133,250,160161
131,138,212,6643
131,142,167,5475
131,147,333,15031
131,148,664,23836
133,138,215,6716
133,142,166,5452
133,147,333,15024
133,148,663,23778
138,142,540,23460
138,147,468,14517
138,148,361,11202
142,147,528,16097
142,148,222,7299
147,148,56,50766
25,152,1432,54454
25,158,1007,43407
25,193,1384,151548
32,152,347,10573
32,158,224,7183
32,193,382,11654
39,152,983,36447
39,158,938,34903
39,193,883,33141
67,152,303,13932
67,158,521,20296
67,193,330,14789
76,152,188,5966
76,158,335,9910
76,193,203,6417
92,152,1582,67867
92,158,996,51757
92,193,1431,57578
105,152,1341,50666
105,158,971,41014
105,193,1610,70501
106,152,189,7635
106,158,190,7576
106,193,179,7454
107,152,1751,117851
107,158,948,67924
107,193,1349,52966
111,152,301,8907
111,158,148,4800
111,193,312,9478
113,152,303,13833
113,158,526,20208
113,193,334,14728
131,152,1415,54240
131,158,1010,43672
131,193,1174,153866
133,152,1415,54139
133,158,1011,43593
133,193,1189,153659
138,152,201,6366
138,158,354,10507
138,193,215,6712
142,152,153,5071
142,158,241,7588
142,193,166,5468
147,152,307,14220
147,158,535,20585
147,193,333,15034
148,152,602,22077
148,158,404,16941
148,193,660,23728
152,158,1175,72381
152,193,1422,54253
158,193,1000,43523
25,203,1409,150851
25,213,1399,151978
25,223,1396,151568
25,241,886,33002
25,280,1587,75051
25,287,590,24684
32,203,381,11638
32,213,386,11717
32,223,383,11662
32,241,283,8550
32,280,314,9568
32,287,172,5539
39,203,880,33014
39,213,881,33023
39,223,879,32999
39,241,1743,86078
39,280,799,30268
39,287,477,17518
67,203,332,14797
67,213,335,14858
67,223,335,14859
67,241,347,13452
67,280,348,14791
67,287,411,14639
76,203,202,6393
76,213,203,6411
76,223,204,6439
76,241,226,6833
76,280,183,5811
76,287,232,7084
92,203,1424,57430
92,213,1422,57469
92,223,1424,57533
92,241,983,39018
92,280,1409,56325
92,287,515,20539
105,203,1603,70404
105,213,1607,70610
105,223,1611,70598
105,241,837,31327
105,280,1464,64616
105,287,587,25929
106,203,177,7443
106,213,180,7497
106,223,178,7463
106,241,213,7510
106,280,168,6914
106,287,167,5985
107,203,1341,52867
107,213,1339,52923
107,223,1341,52865
107,241,906,35964
107,280,1257,49238
107,287,468,18701
111,203,309,9418
111,213,313,9479
111,223,312,9456
111,241,230,7059
111,280,312,9121
111,287,187,5679
113,203,334,14692
113,213,336,14733
113,223,334,14690
113,241,351,13413
113,280,359,14928
113,287,406,14463
131,203,1208,153186
131,213,1173,154121
131,223,1179,153805
131,241,890,33321
131,280,1604,75723
131,287,591,24859
133,203,1212,152912
133,213,1174,153822
133,223,1183,153519
133,241,888,33338
133,280,1605,75682
133,287,587,24750
138,203,215,6711
138,213,217,6746
138,223,217,6757
138,241,238,7162
138,280,187,5924
138,287,233,7132
142,203,167,5489
142,213,169,5530
142,223,167,5485
142,241,183,5723
142,280,173,5453
142,287,233,7069
147,203,332,14979
147,213,335,15043
147,223,334,15018
147,241,341,13389
147,280,377,15575
147,287,417,14761
148,203,658,23656
148,213,662,23741
148,223,663,23746
148,241,522,18085
148,280,621,22176
148,287,319,12192
152,203,1417,54164
152,213,1419,54343
152,223,1417,54185
152,241,974,36973
152,280,1269,49031
152,287,482,18802
158,203,998,43452
158,213,997,43496
158,223,999,43451
158,241,930,35594
158,280,912,39654
158,287,664,24873
193,203,729,158151
193,213,674,158675
193,223,687,158328
193,241,892,33454
193,280,1590,75475
193,287,597,24930
203,213,488,159289
203,223,419,159456
203,241,887,33291
203,280,1585,75380
203,287,594,24888
213,223,444,159626
213,241,888,33304
213,280,1592,75476
213,287,594,24872
223,241,884,33231
223,280,1587,75384
223,287,595,24899
241,280,815,30526
241,287,481,17677
280,287,568,23314
