IDS,1,2,3,7,9,11,12,13,15,16,18,19,20,25,26,29,31,32,34,36,37,38,39,45,50,51,52,53,54,55,56,57,60,61,62,64,65,66,67,69,74,76,77,78,79,80,81,83,85,87,89,90,91,92,98,99,101,103,104,105,106,107,109,111,113,114,115,116,122,125,127,128,131,132,133,134,135,136,138,141,142,143,144,147,148,152,153,154,158,162,163,164,168,169,172,175,178,180,181,182,183,185,189,190,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,227,228,229,230,231,237,238,239,240,241,242,243,244,245,246,247,248,249,250,252,253,254,257,258,260,262,264,269,270,273,275,276,278,279,280,282,284,287,288,289,291,295,297,298
1,0,2138,2117,2102,2122,2152,2122,2122,2122,2146,2150,2151,2019,2137,2122,2185,1978,1978,2166,2140,2141,2141,2118,2151,2123,2115,2116,2117,2116,2153,2239,2118,2146,2119,2118,2149,2142,2163,1669,2154,2135,1846,2136,2152,2153,2151,2153,2152,2151,2155,2150,2153,2075,2139,2145,2144,2127,2148,2146,2143,1766,2161,2122,2182,1675,2122,2115,2130,2130,2155,2144,2118,2143,2143,2143,2140,2133,2143,1839,1948,1931,2141,2212,1637,1949,2163,2160,2160,1966,2164,2162,2119,1966,2129,2155,2146,2147,2151,2161,2155,1971,2230,2132,2156,2139,2141,2140,2140,2137,2141,2139,2139,2141,2141,2138,2139,2136,2142,2141,2140,2140,2141,2139,2141,2140,2140,2137,2137,2140,2140,2139,2140,2141,2144,2158,2115,2116,2116,2152,2155,2149,2146,2141,2116,2120,2175,2161,2162,1941,2011,2017,2010,2010,2012,2017,2010,2113,2076,2145,2139,2143,2138,2138,2137,2138,2139,2143,2143,2139,2110,2145,2094,2110,2138,2093,2124,2082,2084
2,2138,0,1534,1675,1551,1768,1550,1550,1550,1778,813,813,1940,599,1526,2078,1972,1969,889,1966,600,598,1518,849,966,1527,1528,1532,1527,962,1951,1028,632,1529,1531,810,986,853,1993,705,670,2131,860,640,653,641,643,642,640,645,652,662,1681,1001,790,776,887,633,610,766,2140,1141,970,2016,1988,1538,1533,791,1692,906,773,1517,606,601,603,600,587,755,2129,2144,2163,1409,1872,1981,1703,1091,1088,1086,1407,1080,1083,1532,1713,985,883,757,772,692,1035,1081,1712,1757,1680,1543,599,593,595,600,596,612,586,606,594,594,601,593,593,596,603,601,597,590,593,604,590,593,600,609,591,602,605,592,593,742,918,1528,1527,1530,699,671,998,987,994,1529,1531,1134,960,960,1717,1209,1218,1203,1204,1197,1214,1205,2017,2084,718,746,713,737,736,739,748,746,715,707,736,983,1104,1685,1014,935,864,1545,2074,1248
3,2117,1534,0,1835,529,721,531,534,532,718,1563,1569,2049,1447,595,2102,2047,2047,1559,2044,1445,1445,570,1560,1427,2064,2022,2039,2055,1573,2121,1477,1466,1181,1170,1563,1493,1551,1989,1470,1370,2105,1391,1451,1457,1449,1455,1459,1449,1449,1451,1451,1832,1348,1533,1529,1307,1485,1481,1506,2121,1419,1413,2100,1985,705,1931,1393,1915,1448,1527,597,1446,1446,1447,1442,1416,1510,2091,2113,2145,1789,2016,1993,1813,1359,1362,1343,1395,1355,1366,1147,1825,1359,1576,1524,1498,1470,1316,1377,1815,2015,1829,1927,1444,1449,1446,1445,1450,1445,1447,1446,1449,1450,1462,1445,1447,1448,1448,1444,1442,1448,1450,1446,1447,1451,1447,1449,1449,1444,1448,1449,1452,1513,1508,2018,2018,2036,1466,1507,1325,1326,1328,1872,1972,1688,1614,1605,1859,1683,1698,1681,1683,1693,1690,1685,2016,2115,1481,1526,1478,1522,1521,1522,1524,1526,1482,1483,1522,1472,1377,1851,1469,1254,1365,570,2097,1744
7,2102,1675,1835,0,1846,2035,1846,1846,1846,2037,1768,1763,2135,1725,1843,2119,2151,2150,1724,2066,1719,1719,1844,1774,1539,1837,1834,1836,1836,1737,2055,1610,1734,1835,1834,1760,1699,1690,1934,1599,1728,2097,1759,1634,1638,1629,1634,1633,1629,1635,1636,1632,633,1801,1694,1695,1785,1729,1732,1718,2162,1862,1516,2136,1939,1837,1835,1745,1885,1768,1707,1841,1719,1718,1721,1720,1698,1795,2097,2066,2104,1919,2105,1935,2001,1841,1841,1837,1685,1849,1848,1838,1998,1830,1784,1693,1732,1599,1824,1820,1991,2060,1911,1953,1717,1720,1714,1719,1718,1723,1714,1718,1718,1720,1725,1718,1716,1722,1719,1718,1715,1714,1720,1719,1713,1719,1717,1716,1720,1717,1723,1718,1719,1774,1732,1834,1835,1834,1598,1772,1810,1805,1810,1832,1837,1823,1778,1775,1996,1710,1704,1708,1702,1703,1704,1711,2111,2099,1714,1745,1713,1746,1747,1746,1747,1745,1715,1719,1746,1601,1842,1292,1590,1793,1653,1855,2060,1742
9,2122,1551,529,1846,0,2128,2295,2295,2291,1963,1604,1600,2052,1483,571,2104,2049,2049,1606,2048,1486,1485,672,1602,1465,544,548,551,549,1604,2132,1516,1514,572,563,1599,1514,1575,2003,1531,1411,2107,1429,1513,1515,1508,1517,1514,1508,1510,1511,1508,1862,1378,1557,1556,1335,1520,1515,1548,2129,1449,1455,2095,1994,557,513,1432,1940,1484,1548,560,1485,1487,1490,1489,1468,1562,2100,2111,2146,1808,2014,2004,1828,1396,1399,1393,1447,1396,1405,547,1845,1403,1616,1556,1529,1530,1368,1437,1838,2028,1840,1946,1482,1483,1484,1487,1481,1486,1479,1483,1483,1485,1493,1483,1484,1482,1484,1479,1481,1480,1484,1486,1479,1487,1484,1484,1485,1480,1487,1482,1484,1551,1552,548,548,544,1525,1541,1378,1375,1378,526,527,1709,1647,1639,1868,1700,1713,1697,1701,1718,1709,1701,2013,2119,1520,1559,1520,1554,1554,1554,1555,1559,1524,1522,1554,1502,1407,1869,1505,1312,1404,1240,2098,1764
11,2152,1768,721,2035,2128,0,2133,2131,2129,1959,1827,1830,2178,1718,794,2190,2054,2054,1819,2139,1723,1723,929,1821,1695,733,737,742,737,1819,2205,1740,1755,743,738,1819,1761,1797,2152,1763,1664,2224,1660,1745,1746,1743,1748,1746,1743,1743,1744,1743,2062,1638,1781,1782,1593,1770,1766,1775,2232,1696,1688,2210,2148,736,712,1679,2115,1733,1775,794,1723,1724,1726,1726,1713,1788,2214,2232,2156,1985,2113,2154,1974,1649,1652,1649,1720,1658,1662,725,1982,1661,1829,1781,1767,1764,1628,1673,1980,2163,1970,1948,1719,1720,1721,1723,1718,1723,1717,1720,1720,1722,1727,1720,1721,1719,1721,1717,1718,1717,1720,1722,1716,1724,1719,1722,1722,1720,1722,1719,1721,1788,1780,738,736,732,1761,1769,1619,1618,1619,724,719,1908,1854,1849,2008,1928,1936,1925,1930,1938,1933,1928,2116,2222,1757,1789,1759,1785,1785,1786,1788,1789,1761,1758,1785,1731,1658,2057,1732,1575,1655,1319,2202,1949
12,2122,1550,531,1846,2295,2133,0,2299,2307,1970,1604,1600,2052,1483,573,2104,2049,2049,1606,2048,1486,1485,671,1601,1463,546,550,553,551,1603,2132,1516,1513,574,564,1598,1513,1574,2003,1530,1410,2106,1430,1512,1514,1507,1516,1513,1507,1509,1510,1507,1862,1378,1556,1555,1334,1519,1514,1547,2130,1448,1454,2095,1994,559,515,1432,1940,1484,1548,561,1485,1487,1490,1489,1467,1561,2099,2110,2146,1807,2016,2004,1827,1397,1400,1394,1446,1396,1405,547,1844,1404,1614,1555,1529,1529,1368,1436,1837,2028,1839,1945,1482,1483,1484,1487,1481,1486,1479,1483,1483,1485,1493,1483,1484,1482,1484,1479,1481,1480,1484,1486,1479,1487,1484,1484,1485,1480,1487,1482,1484,1551,1551,550,550,546,1524,1542,1377,1374,1377,527,529,1709,1646,1638,1869,1700,1713,1697,1701,1718,1709,1700,2012,2119,1519,1558,1519,1553,1553,1553,1554,1558,1523,1521,1553,1501,1407,1869,1504,1312,1403,1240,2098,1763
13,2122,1550,534,1846,2295,2131,2299,0,2299,1967,1604,1600,2052,1482,577,2104,2049,2049,1606,2048,1485,1484,672,1601,1464,549,552,556,555,1603,2132,1516,1514,575,567,1598,1512,1575,2003,1531,1411,2105,1431,1512,1514,1507,1516,1513,1507,1509,1510,1507,1862,1379,1556,1555,1335,1519,1514,1548,2130,1449,1455,2095,1994,561,518,1433,1939,1484,1549,560,1484,1486,1489,1488,1468,1560,2099,2110,2147,1807,2016,2004,1827,1397,1400,1394,1447,1396,1405,550,1844,1405,1615,1555,1529,1530,1367,1436,1837,2028,1839,1945,1481,1482,1483,1486,1479,1485,1478,1482,1482,1484,1492,1482,1483,1481,1483,1477,1480,1479,1483,1485,1478,1485,1483,1483,1484,1479,1486,1481,1483,1550,1551,552,552,548,1525,1541,1377,1373,1376,530,532,1708,1646,1638,1869,1700,1713,1697,1701,1718,1709,1700,2012,2119,1520,1559,1520,1554,1554,1554,1555,1559,1524,1522,1554,1501,1405,1869,1504,1313,1402,1243,2098,1763
15,2122,1550,532,1846,2291,2129,2307,2299,0,1963,1604,1600,2052,1482,574,2104,2050,2050,1606,2048,1485,1484,672,1601,1463,547,550,554,552,1603,2132,1516,1513,573,565,1598,1513,1574,2003,1530,1410,2106,1430,1512,1514,1507,1516,1513,1507,1509,1510,1507,1862,1378,1556,1555,1335,1519,1514,1547,2130,1450,1454,2095,1994,559,516,1432,1940,1484,1548,562,1484,1486,1489,1488,1467,1560,2099,2110,2146,1807,2016,2004,1827,1398,1401,1395,1447,1397,1406,548,1844,1405,1614,1555,1529,1529,1369,1437,1837,2028,1839,1945,1481,1482,1483,1486,1480,1485,1478,1482,1482,1484,1492,1482,1483,1481,1483,1478,1480,1479,1483,1485,1478,1486,1483,1483,1484,1479,1486,1481,1483,1551,1551,550,550,546,1524,1541,1378,1375,1378,528,530,1708,1646,1638,1869,1700,1713,1697,1701,1718,1709,1700,2012,2119,1519,1558,1519,1553,1553,1553,1554,1558,1523,1521,1553,1501,1408,1869,1504,1313,1403,1237,2098,1763
