ID1,ID2,Num_Mums,Total_mums_length
1,2,194,7352
1,3,215,7699
1,7,230,7707
1,9,210,7529
1,11,180,6677
1,12,210,7529
1,13,210,7529
1,15,210,7529
1,16,186,6816
1,18,182,7174
1,19,181,7145
1,20,313,9550
1,25,195,7772
1,26,210,7374
1,29,147,5142
1,31,354,12066
1,32,354,12066
1,34,166,6850
1,36,192,6990
1,37,191,7745
1,38,191,7745
1,39,214,7534
1,45,181,7199
2,3,798,29960
2,7,657,25247
2,9,781,29168
2,11,564,19524
2,12,782,29206
2,13,782,29206
2,15,782,29205
2,16,554,19264
2,18,1519,59683
2,19,1519,59402
2,20,392,11992
2,25,1733,72595
2,26,806,29579
2,29,254,9075
2,31,360,10723
2,32,363,10814
2,34,1443,56402
2,36,366,13174
2,37,1732,72812
2,38,1734,72862
2,39,814,29784
2,45,1483,58840
3,7,497,18153
3,9,1803,108189
3,11,1611,86535
3,12,1801,108196
3,13,1798,108134
3,15,1800,108134
3,16,1614,86586
3,18,769,28926
3,19,763,28507
3,20,283,8993
3,25,885,33021
3,26,1737,105766
3,29,230,7940
3,31,285,8610
3,32,285,8613
3,34,773,28789
3,36,288,10611
3,37,887,33360
3,38,887,33360
3,39,1762,86742
3,45,772,29077
7,9,486,17768
7,11,297,10035
7,12,486,17768
7,13,486,17768
7,15,486,17767
7,16,295,9992
7,18,564,22125
7,19,569,22023
7,20,197,6651
7,25,607,25048
7,26,489,17677
7,29,213,7415
7,31,181,5792
7,32,182,5826
7,34,608,24855
7,36,266,9481
7,37,613,25339
7,38,613,25339
7,39,488,17740
7,45,558,22212
9,11,204,114048
9,12,37,136888
9,13,37,136885
9,15,41,136876
9,16,369,113243
9,18,728,27529
9,19,732,27288
9,20,280,8932
9,25,849,31380
9,26,1761,91246
9,29,228,7856
9,31,283,8528
9,32,283,8530
9,34,726,27372
9,36,284,10526
9,37,846,31526
9,38,847,31546
9,39,1660,76105
9,45,730,27560
11,12,199,114051
11,13,201,114082
11,15,203,114053
11,16,373,112355
11,18,505,17740
11,19,502,17504
11,20,154,4046
11,25,614,20961
11,26,1538,71147
11,29,142,4597
11,31,278,8423
11,32,278,8425
11,34,513,17805
11,36,193,6584
11,37,609,20971
11,38,609,20971
11,39,1403,58561
11,45,511,17861
12,13,33,136906
12,15,25,136878
12,16,362,113256
12,18,728,27523
12,19,732,27282
12,20,280,8932
12,25,849,31368
12,26,1759,91252
12,29,228,7856
12,31,283,8535
12,32,283,8537
12,34,726,27362
12,36,284,10526
12,37,846,31508
12,38,847,31528
12,39,1661,76131
12,45,731,27568
13,15,33,136879
13,16,365,113228
13,18,728,27523
13,19,732,27282
13,20,280,8932
13,25,850,31391
13,26,1755,91163
13,29,228,7856
13,31,283,8535
13,32,283,8537
13,34,726,27362
13,36,284,10526
13,37,847,31537
13,38,848,31557
13,39,1660,76135
13,45,731,27568
15,16,369,113242
15,18,728,27523
15,19,732,27282
15,20,280,8930
15,25,850,31390
15,26,1758,91214
15,29,228,7852
15,31,282,8514
15,32,282,8516
15,34,726,27361
15,36,284,10526
15,37,847,31536
15,38,848,31556
15,39,1660,76122
15,45,731,27568
16,18,493,17398
16,19,493,17221
16,20,160,4189
16,25,604,20704
16,26,1541,71393
16,29,143,4625
16,31,276,8366
16,32,277,8389
16,34,506,17588
16,36,192,6565
16,37,599,20725
16,38,599,20725
16,39,1416,59135
16,45,501,17546
18,19,1449,142063
18,20,346,10837
18,25,1617,67299
18,26,761,28363
18,29,246,9110
18,31,333,9913
18,32,337,10023
18,34,1392,54680
18,36,345,13101
18,37,1605,67427
18,38,1608,67503
18,39,766,28439
18,45,1800,111444
19,20,339,10607
19,25,1624,67176
19,26,768,28103
19,29,247,9082
19,31,328,9804
19,32,327,9807
19,34,1404,54428
19,36,344,12980
19,37,1618,67323
19,38,1621,67399
19,39,770,28125
19,45,1837,110434
20,25,391,12421
20,26,278,8767
20,29,192,6060
20,31,794,27272
20,32,800,27395
20,34,346,10978
20,36,277,8973
20,37,391,12432
20,38,391,12432
20,39,285,8992
20,45,339,10738
25,26,871,32175
25,29,247,9185
25,31,381,11590
25,32,381,11633
25,34,1529,63473
25,36,353,13392
25,37,1343,151830
25,38,1341,151909
25,39,872,32681
25,45,1563,65753
26,29,228,7854
26,31,279,8440
26,32,279,8453
26,34,776,28405
26,36,285,10379
26,37,867,32335
26,38,867,32335
26,39,1659,76889
26,45,771,28566
29,31,192,5779
29,32,190,5732
29,34,254,9208
29,36,385,13868
29,37,250,9268
29,38,250,9268
29,39,229,7805
29,45,245,9002
31,32,312,135972
31,34,331,9988
31,36,296,9106
31,37,385,11672
31,38,384,11646
31,39,275,8324
31,45,333,10032
32,34,333,10050
32,36,296,9098
32,37,385,11716
32,38,383,11669
32,39,274,8319
32,45,335,10099
34,36,320,12412
34,37,1548,63835
34,38,1549,63877
34,39,781,28535
34,45,1386,54022
36,37,357,13534
36,38,356,13514
36,39,279,10213
36,45,339,12937
37,38,15,160332
37,39,871,32909
37,45,1564,65969
38,39,871,32909
38,45,1567,66045
39,45,772,28550
1,50,209,8079
1,51,217,7716
1,52,216,7693
1,53,215,7641
1,54,216,7696
1,55,179,7240
1,56,93,2951
1,57,214,8186
1,60,186,7372
1,61,213,7607
1,62,214,7627
1,64,183,7284
1,65,190,7655
1,66,169,6938
1,67,663,22245
1,69,178,7426
1,74,197,7976
1,76,486,14183
1,77,196,7983
1,78,180,7351
1,79,179,7320
1,80,181,7371
1,81,179,7331
1,83,180,7345
1,85,181,7371
1,87,177,7285
1,89,182,7380
1,90,179,7331
1,91,257,8486
1,92,193,7737
1,98,187,7462
1,99,188,7532
2,50,1366,55126
2,51,805,30080
2,52,804,30122
2,53,800,30004
2,54,805,30072
2,55,1370,54329
2,56,381,12977
2,57,1304,53698
2,60,1700,70092
2,61,803,29997
2,62,801,29942
2,64,1522,60317
2,65,1346,53849
2,66,1479,58723
2,67,339,14394
2,69,1627,67582
2,74,1662,69552
2,76,201,6230
2,77,1472,59872
2,78,1692,71107
2,79,1679,70702
2,80,1691,70824
2,81,1689,70906
2,83,1690,70794
2,85,1692,70854
2,87,1687,70846
2,89,1680,70655
2,90,1670,70636
2,91,651,25540
2,92,1331,51946
2,98,1542,62525
2,99,1556,63267
3,50,905,32881
3,51,268,139361
3,52,310,139526
3,53,293,138460
3,54,277,139219
3,55,759,29091
3,56,211,6640
3,57,855,31688
3,60,866,31606
3,61,1151,133460
3,62,1162,133362
3,64,769,29315
3,65,839,32666
3,66,781,29989
3,67,343,13434
3,69,862,32429
3,74,962,36824
3,76,227,6888
3,77,941,36162
3,78,881,33396
3,79,875,33223
3,80,883,33327
3,81,877,33226
3,83,873,33135
3,85,883,33327
3,87,883,33376
3,89,881,33374
3,90,881,33342
3,91,500,18623
3,92,984,39083
3,98,799,30719
3,99,803,30947
7,50,793,32662
7,51,495,18102
7,52,498,18177
7,53,496,18128
7,54,496,18123
7,55,595,25129
7,56,277,8676
7,57,722,30650
7,60,598,24531
7,61,497,18124
7,62,498,18148
7,64,572,22559
7,65,633,24854
7,66,642,26352
7,67,398,14271
7,69,733,31551
7,74,604,25355
7,76,235,7115
7,77,573,22973
7,78,698,29271
7,79,694,29101
7,80,703,29289
7,81,698,29230
7,83,699,29237
7,85,703,29289
7,87,697,29192
7,89,696,29129
7,90,700,29243
7,91,1699,93180
7,92,531,20813
7,98,638,26878
7,99,637,27108
9,50,867,31660
9,51,1788,107895
9,52,1784,108222
9,53,1781,107420
9,54,1783,107640
9,55,728,27794
9,56,200,6200
9,57,816,30348
9,60,818,29972
9,61,1760,107760
9,62,1769,107716
9,64,733,27858
9,65,818,31349
9,66,757,28864
9,67,329,13117
9,69,801,30474
9,74,921,34861
9,76,225,6762
9,77,903,33987
9,78,819,31382
9,79,817,31304
9,80,824,31416
9,81,815,31254
9,83,818,31291
9,85,824,31415
9,87,822,31402
9,89,821,31408
9,90,824,31422
9,91,470,17759
9,92,954,37026
9,98,775,29638
9,99,776,29789
11,50,637,21350
11,51,1599,86202
11,52,1595,86572
11,53,1590,85759
11,54,1595,85957
11,55,513,17997
11,56,127,3926
11,57,592,20279
