ID,Name,URL,Size,GC,rRNA,tRNA,gene,Goodness_Level,Region,Next_url,Final_url
1,Abies koreana,http://www.ncbi.nlm.nih.gov/genome/37072?genome_assembly_id=229804,121.373,38.25,4,35,113,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/794448031?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=794448031&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
2,Acacia ligulata,http://www.ncbi.nlm.nih.gov/genome/35747?genome_assembly_id=217230,158.724,36.21,8,36,126,1,Australia,http://www.ncbi.nlm.nih.gov/nuccore/918399422?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=918399422&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
3,Acidosasa purpurea,http://www.ncbi.nlm.nih.gov/genome/10432?genome_assembly_id=39499,139.697,38.9,8,38,128,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/309321597?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=309321597&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
4,Acorus americanus,http://www.ncbi.nlm.nih.gov/genome/8376?genome_assembly_id=38108,153.819,38.59,8,38,132,3,N. America,,
5,Actinidia chinensis,http://www.ncbi.nlm.nih.gov/genome/16401?genome_assembly_id=228848,156.346,37.2,8,40,131,2,East Asia,,
6,Actinidia deliciosa,http://www.ncbi.nlm.nih.gov/genome/36666?genome_assembly_id=228596,156.741,37.16,8,39,130,2,East Asia,,
7,Adenophora remotiflora,http://www.ncbi.nlm.nih.gov/genome/37248?genome_assembly_id=230543,171.724,38.76,8,37,140,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/814557074?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=814557074&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
8,Adiantum capillus-veneris,http://www.ncbi.nlm.nih.gov/genome/7360?genome_assembly_id=37475,150.568,42.01,8,35,130,3,,,
9,Aegilops bicornis,http://www.ncbi.nlm.nih.gov/genome/33970?genome_assembly_id=209353,136.861,38.29,8,33,124,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/667754972?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667754972&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
10,Aegilops cylindrica,http://www.ncbi.nlm.nih.gov/genome/17681?genome_assembly_id=49389,113.49,37.29,4,30,111,6,,,
